  210 ''''     0    0       0
  527 AKP      0   68.13 -151.73  640 Anaktuvuk Pass, AK 
  686 AKR      0   41.04  -81.47  325 Akron Fulton Arpt, OH 
  446 AKS      0    0       0    
  865 AKT  
 1225 ALA  
    5 ALB  72518   42.75  -73.80 0086 Albany, NY
 2310 ALI  
 2246 ALO      0   42.56  -92.40 0266 Waterloo Muni
    6 ALS  72462   37.45 -105.87 2299 Alamosa, CO
 1152 ALT  72219   33.65  -84.42 0315 Atlanta, GA
    7 AMA  72363   35.23 -101.70 1094 Amarillo, TX
 2757 AMD  
  735 AMR      0    0       0    
  314 AMS  06240   52.30   4.77     2 Amsterdam/Schip, NL
  542 AMY      0    0       0    
 2721 ANA  
    8 ANC  70273   61.17 -150.02 0045 Anchorage Int'L, AK
 2831 ANI  70232  61.59  -159.54  26   ANIAK, AK
 2002 ANU  
  488 APA      0   39.57 -104.85 1790 Denver/Centennial, CO
 2245 APN      0   45.08  -83.56 0210 Alpena County Regional
 1911 APR  
  613 ARA      0   30.03  -91.88    7 New Iberia, LA
 2512 ARD  
 1489 ARN  
 2244 ASE      0   39.22 -106.87 2383 Aspen-Pitkin Co, CO
 1807 ASI  
  628 ASP      0    0       0   
 2829 AST  
 1646 ATA  
 2752 ATD  
 1571 ATH  
 1468 ATJ  
    9 ATL  72219   33.65  -84.42 0315 Atlanta, GA
 1185 ATT  
 2316 ATV  
  703 ATW      0   44.25  -88.52  280 Appleton, WI 
 2242 ATY      0   44.91  -97.15 0532 Watertown Muni
 1093 AUA  
   10 AUS  72254   30.30  -97.70 0189 Austin/Mueller, TX
  743 AVL  72315   35.43  -82.55  661 Asheville Rgnl, NC 
 1281 AZE  
 2241 AZO      0   42.23  -85.55 0266 Kalamazoo/Battle Creek International
 1491 BAA  54511   40.08  116.60   35 Beijing/Peking, CI 
 2789 BAD  
  640 BAE      0    0       0  
 2338 BAH  
 2142 BAK  
 2846 BAX  
  364 BBB      0   40.47   50.05    3 Bina/Baku, Azerbaijan
  344 BBG  15655   42.48   27.48   28 Burgas, Bulgaria  
 2326 BBI      0   26.27   50.63    2 Bahrain, Bahrain  
 2354 BBK  
  372 BBL  06479   51.17    5.47   64 Kleine-Brogel, BX
 3120 BBN  
 2628 BBP  
 2952 BBR  
  892 BBW  
 1500 BCC  
 1524 BCD  
 1939 BCE  
 1926 BCL  
 1357 BCN  
 3080 BCP  
  649 BCV      0    0       0
 1535 BDA  
 2795 BDD  
 2005 BDJ  
   11 BDL  72508   41.93  -72.68 0055 Bradley/Hartford, CT
   12 BDR  72504   41.17  -73.13 0005 Bridgeport/Skrsk, CT
 1942 BED  
  695 BEG      0    0       0  
 2123 BEJ  
  851 BEZ  
 2135 BFF  
   13 BFI  90001   47.53 -122.30 0005 Seattle/Boeing, WA
 1223 BFJ  
  294 BFM      0   30.63  -88.07    8 Mobile/Brookley, AL
 2293 BFW  
 3047 BFZ  
 2520 BGA  
 1537 BGI  
 2839 BGL  83746  -22.82  -43.25    6 Rio De Janeiro Intl, BZ 
 2240 BGM      0   42.21  -75.98 0498 Binghamton Regional/Link Field, NY
  742 BGR      0   44.80  -68.83   59 Bangor, ME 
  930 BGSF     0   67.00  -50.90   50 Sondre-Stromfjord
 1947 BGX  
 1338 BGY  
   14 BHM  72228   33.47  -86.83 0227 Birmingham, AL
 2676 BIA  
  702 BIF      0   31.85 -106.38 1204 Biggs AFB, TX
 1964 BIG  
  366 BIKF 04018   63.97  -22.60   54 Reykjavik-Keflavik, Iceland
   15 BIL  72677   45.80 -108.53 1088 Billings/Logan, MT
  591 BIS  72764   46.77 -100.75  504 Bismarck, ND
 2238 BJI      0   47.51  -94.93 0423 Bemidji-beltrami County
   16 BJX  26577   21.00 -102.50 1999 Leon-Guanajuato, MX
  776 BKA      0    0       0  
 1713 BKB  
  268 BKK  48456   13.92  100.60 0012 Bangkok/Don Mua, TH
  661 BKL      0   41.52  -81.68  178 Burke Lakefront, OH
  631 BKO  61291   12.53   -7.95  381 Bamako/Senou, Mali
  368 BKP  83721  -23.00  -47.13  661 Sao Paulo-Viracopos, BRAZIL
  369 BKV      0   28.47  -82.45   20 Brooksville, FL
 2824 BLK  
